record_id,study_area,latitude,longitude,inventory_condition,year_inspected,image_ids,image_paths,truth_label,image_quality,occlusion,detectable_warning,labeler,label_timestamp,notes
ADA_CurbRampPt_10832,anacostia_fairlawn,38.86953758384986,-76.97085483516355,Fair,2016,,,,,,,,,
ADA_CurbRampPt_11395,anacostia_fairlawn,38.87680651324278,-76.9675654278966,Fair,2016,,,,,,,,,
ADA_CurbRampPt_1495,anacostia_fairlawn,38.86853145248082,-76.95872168485694,Fair,2016,,,,,,,,,
ADA_CurbRampPt_15555,anacostia_fairlawn,38.86009023242576,-76.96803664740125,Fair,2016,,,,,,,,,
ADA_CurbRampPt_16084,anacostia_fairlawn,38.85460111713596,-76.98592200375629,Fair,2016,,,,,,,,,
ADA_CurbRampPt_16873,anacostia_fairlawn,38.868434644572865,-76.98069500183573,Fair,2016,,,,,,,,,
ADA_CurbRampPt_18040,anacostia_fairlawn,38.867922074464865,-76.96001492991232,Fair,2016,,,,,,,,,
ADA_CurbRampPt_18645,anacostia_fairlawn,38.86849356883389,-76.98087721690601,Fair,2016,,,,,,,,,
ADA_CurbRampPt_24464,anacostia_fairlawn,38.85955238002881,-76.98683971283374,Fair,2016,,,,,,,,,
ADA_CurbRampPt_28612,anacostia_fairlawn,38.8625294984108,-76.99035539016586,Fair,2016,,,,,,,,,
ADA_CurbRampPt_29643,anacostia_fairlawn,38.87908018354833,-76.98374674675763,Fair,2016,,,,,,,,,
ADA_CurbRampPt_6906,anacostia_fairlawn,38.86392109693711,-76.99132886871728,Fair,2016,,,,,,,,,
ADA_CurbRampPt_11753,anacostia_fairlawn,38.86581346352636,-76.97945035983177,Good,2016,,,,,,,,,
ADA_CurbRampPt_14660,anacostia_fairlawn,38.86541281101138,-76.97621105506252,Good,2016,,,,,,,,,
ADA_CurbRampPt_2065,anacostia_fairlawn,38.870706855752374,-76.97892133875733,Good,2016,,,,,,,,,
ADA_CurbRampPt_21231,anacostia_fairlawn,38.867209304774356,-76.98713419877689,Good,2016,,,,,,,,,
ADA_CurbRampPt_22441,anacostia_fairlawn,38.87920712729695,-76.98085834037485,Good,2016,,,,,,,,,
ADA_CurbRampPt_2431,anacostia_fairlawn,38.869992777401634,-76.96754357295767,Good,2016,,,,,,,,,
ADA_CurbRampPt_25802,anacostia_fairlawn,38.87659552707854,-76.99386633485634,Good,2016,,,,,,,,,
ADA_CurbRampPt_29374,anacostia_fairlawn,38.85037490013754,-76.98611516306562,Good,2016,,,,,,,,,
ADA_CurbRampPt_29685,anacostia_fairlawn,38.860564569989826,-76.9885677977928,Good,2016,,,,,,,,,
ADA_CurbRampPt_31671,anacostia_fairlawn,38.8613319225489,-76.99365680021182,Good,2016,,,,,,,,,
ADA_CurbRampPt_32546,anacostia_fairlawn,38.855252255745675,-76.96988948795403,Good,2016,,,,,,,,,
ADA_CurbRampPt_32843,anacostia_fairlawn,38.87300974442553,-76.96786170499405,Good,2016,,,,,,,,,
ADA_CurbRampPt_12765,anacostia_fairlawn,38.87935530040256,-76.99143398348536,Missing,2016,,,,,,,,,
ADA_CurbRampPt_16710,anacostia_fairlawn,38.869532740024056,-76.98228714290292,Missing,2016,,,,,,,,,
ADA_CurbRampPt_17620,anacostia_fairlawn,38.8616850729565,-76.96141196342833,Missing,2016,,,,,,,,,
ADA_CurbRampPt_17848,anacostia_fairlawn,38.85735447526058,-76.9614405316037,Missing,2016,,,,,,,,,
